, 14 days,SMA12,EMA12,TBR24,VOL29,MOM10,,SMA26,EMA26,TBR12,VOL87,,Change,Gain,Loss,AV GAIN,AV LOSS,RS(INPUT 10),RSI,,,,SMA_12>SMA26,EMA_12>EMA26,TBR12>TBR24,VOL29>VOL87,MOM>0,RSI>70%,14 day increase
387.34,1,383.5683333,373.1656798,-0.040976504,0.026055533,-0.55,,369.1519231,387.3444516,-0.020929174,0.042205823,,8.28,8.28,0,1.656,1.601,1.034353529,50.84433528,,,,1,0,0,0,0,1,1
395.62,1,385.6841667,375.0916009,-0.020475872,0.027764988,0,,370.8923077,396.2565806,0,0.042078012,,-4.97,0,4.97,1.656,1.656,1,50,,,,1,0,0,0,0,1,1
390.65,1,387.2933333,376.9687905,-0.032781203,0.028785619,4.41,,372.5265385,390.2187246,-0.028813644,0.041560518,,-4.41,0,4.41,1.215,1.656,0.733695652,42.31974922,,,,1,0,0,0,1,1,1
386.24,1,388.2591667,378.7057714,-0.043700017,0.030197126,16,,374.2457692,385.9339443,-0.039777247,0.04124599,,3.31,3.31,0,0.774,2.374,0.326032013,24.58703939,,,,1,0,0,0,1,1,1
389.55,1,389.0408333,380.295781,-0.035504717,0.03116765,12.69,,375.6676923,389.8281581,-0.035504717,0.041068179,,-3.87,0,3.87,0.774,2.043,0.378854626,27.47603834,,,,1,0,0,0,1,1,1
385.68,1,388.9941667,381.6339941,-0.045086533,0.032086602,18.21,,376.9407692,385.3609109,-0.045086533,0.040712468,,3.31,3.31,0,0.387,2.208,0.175271739,14.9132948,,,,1,0,1,0,1,1,1
388.99,0,388.9941667,382.7663284,-0.036891233,0.032983178,14.9,,378.2561538,389.2691607,-0.036891233,0.040536784,,-3.31,0,3.31,0.387,1.877,0.206180075,17.09363958,,,,1,0,0,0,1,1,0
385.68,0,388.4883333,383.6466368,-0.045086533,0.033750181,13.8,,379.1896154,385.4039107,-0.045086533,0.040258433,,1.11,1.11,0,0.497,1.877,0.26478423,20.93513058,,,,1,0,1,0,1,1,0
386.79,0,388.1208333,384.3349748,-0.04233826,0.034511035,9.93,,380.1873077,386.8966223,-0.04233826,0.040465673,,0,0,0,0.773,1.766,0.437712344,30.44505711,,,,1,0,1,0,1,1,0
386.79,0,388.2133333,384.9316453,-0.04233826,0.034787542,0.55,,381.1423077,386.7817983,-0.04233826,0.040535251,,0,0,0,1.711,1.766,0.968856172,49.20908829,,,,1,0,1,0,1,1,0
386.79,0,388.1216667,385.4224178,-0.04233826,0.035049824,1.65,,382.0973077,386.7906309,-0.04233826,0.040837838,,8.83,8.83,0,1.711,1.876,0.912046908,47.70002788,,,,1,0,1,0,1,1,0
395.62,0,388.8116667,385.9438407,-0.020475872,0.035294359,-14.35,,383.5192308,396.2991822,-0.020475872,0.041029379,,-0.56,0,0.56,2.428,0.993,2.445115811,70.97339959,,,,1,0,1,0,0,0,0
395.06,0,389.455,386.4840191,-0.021862388,0.035258381,-12.13,,384.9623077,394.9646783,-0.021862388,0.040800171,,7.18,7.18,0,2.372,1.159,2.04659189,67.17643727,,,,1,0,1,0,0,1,0
